,s,t,method,hash,k,cost,factor,portfolio,infos
3220,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.122174525016206,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151],[56.456;;62.101;;66.069;;71.080]
3221,18,38,penalised djikstra(1.1),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.122174525016206,1.001340470787509,[a18-61-124-63-142;a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151],[56.456;;62.101;;66.069;;71.080]
3222,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.404475775784725,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-122-149-20-28-30-151],[56.456;;65.840;;73.248;;81.912]
3223,18,38,penalised djikstra(1.2),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.404475775784725,1.006468709464308,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a18-122-149-20-28-30-151],[56.456;;65.840;;73.248;;81.912]
3224,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.470010609937496,,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a92-95-128-23-55-130-151],[56.456;;68.132;;82.331;;84.415]
3225,18,38,penalised djikstra(1.3),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.470010609937496,1.0076592046189168,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-63-142;a92-95-128-23-55-130-151],[56.456;;68.132;;82.331;;84.415]
3226,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.39213284189352,,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151],[56.456;;70.424;;84.173;;88.527]
3227,18,38,penalised djikstra(1.4),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,4,55.39213284189352,1.006244489731687,[a18-61-124-63-142;a18-61-90-155-30-151;a92-95-128-23-134-12-142;a18-122-149-20-28-30-151],[56.456;;70.424;;84.173;;88.527]
3228,18,38,greedy,c539c10233e857faac14ba4e7c580b9914d39c989616057b920cb8ce3825cb6d,3,55.122174525016206,1.001340470787509,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151],[+2.56%;;+0.80%;;+0.13%]
3229,18,38,most frequent shortest paths,120d5c6e56ceb65e9f5418ea9b966d31319dadb98731c6602535ded982afe2e2,3,55.122174525016206,1.001340470787509,[a18-61-124-63-142;a18-61-90-155-30-151;a18-61-124-130-151],[+2.56% | f=0.675;;+0.80% | f=0.171;;+0.13% | f=0.121]
3230,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,56.45560114585185,,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142],[56.456;;59.278;;62.242]
3231,18,38,penalised djikstra(1.05),d553817d1ebc55a7a549cfaa1bb69edb1bd7632a8949930debf9dae26fe3a38c,3,56.45560114585185,1.0255632822381389,[a18-61-124-63-142;a18-61-124-63-142;a18-61-124-63-142],[56.456;;59.278;;62.242]
