s,t,expected s-t distance,standard deviation of s-t distance,s,t,entropy,frequency of mode
57,4,81.06477524143281,10.595598823863792,57,4,1.3059685446492868,0.43194444444444446
57,5,102.784884352766,11.814322113760829,57,5,1.6901426500545935,0.5502314814814815
57,6,inf,,57,6,-0.0,1.0
57,7,104.26586581981266,11.87739070335466,57,7,1.800229554333916,0.49236111111111114
57,8,110.0912760698404,14.74550763708547,57,8,0.9500560517423827,0.6342592592592593
57,9,93.45141925309704,10.565884911994996,57,9,1.5277316538587398,0.5659722222222222
57,10,80.27494260744662,11.53388691793964,57,10,0.9039073219859184,0.6381944444444444
57,11,86.4483320802196,9.753304000856266,57,11,1.4933967381739206,0.5655092592592592
57,12,73.5717651585349,9.785844985988225,57,12,1.3059685446492868,0.43194444444444446
57,13,inf,,57,13,-0.0,1.0
57,14,71.26892578593962,10.6597226661757,57,14,0.9039073219859184,0.6381944444444444
57,15,81.15733004472918,9.054783873252395,57,15,1.4162580046846656,0.594212962962963
57,16,90.83933949672927,12.348371447838897,57,16,0.9500560517423827,0.6342592592592593
57,17,103.02678896076868,11.544894907253513,57,17,2.0603382149499216,0.3594907407407407
57,18,64.2340274333936,9.895919287113525,57,18,0.9039073219859184,0.6381944444444444
57,19,70.78095691680558,8.747197316613534,57,19,0.9140091829894547,0.7888888888888889
57,20,95.13346142110404,10.504219708027637,57,20,1.421817582165045,0.6662037037037037
57,21,66.15397112370397,8.390810073217269,57,21,0.9140091829894547,0.7888888888888889
57,22,98.28014017593303,10.771439465552161,57,22,1.421817582165045,0.6662037037037037
57,23,78.4848135172266,9.304215340392052,57,23,0.6517767910882555,0.874537037037037
57,24,77.39871158091425,9.102805330926422,57,24,0.8705869020031257,0.8347222222222223
57,25,56.52686369921074,9.125587277350146,57,25,0.9039073219859184,0.6381944444444444
57,26,61.1975987414792,8.420888718867458,57,26,0.5027390675476877,0.8983796296296296
57,27,77.22726256720847,12.004605000059742,57,27,0.9093720718472801,0.637962962962963
